G,N,geo,h2o,OI,epf,conc,comments,date
Or49a-GAL4/UAS-Or56a,5,7,94,-0.861386139,20.2,10_9',,
Or49a-GAL4/UAS-Or56a,5,14,123,-0.795620438,27.4,10_9',,
Or49a-GAL4/UAS-Or56a,5,38,39,-0.012987013,15.4,10_9',,
Or49a-GAL4/UAS-Or56a,5,6,42,-0.75,9.6,10_9',,
Or49a-GAL4/UAS-Or56a,5,34,102,-0.5,27.2,10_9',,
Or49a-GAL4/UAS-Or56a,5,63,130,-0.347150259,38.6,10_9',,
Or49a-GAL4/UAS-Or56a,5,100,107,-0.033816425,41.4,10_9',,
Or49a-GAL4/UAS-Or56a,5,56,116,-0.348837209,34.4,10_9',,
CantonS,5,15,16,-0.032258065,6.2,10_12',,
CantonS,5,27,24,0.058823529,10.2,10_12',,
CantonS,5,25,21,0.086956522,9.2,10_12',,
CantonS,5,29,20,0.183673469,9.8,10_12',,
Or49a-GAL4/UAS-Or56a,5,17,29,-0.260869565,9.2,10_12',,
Or49a-GAL4/UAS-Or56a,5,52,39,0.142857143,18.2,10_12',,
Or49a-GAL4/UAS-Or56a,5,21,15,0.166666667,7.2,10_12',,
Or49a-GAL4/UAS-Or56a,5,16,12,0.142857143,5.6,10_12',,
Or49a-GAL4/UAS-Or56a,5,34,19,0.283018868,10.6,10_12',,
Or49a-GAL4/UAS-Or56a,5,13,30,-0.395348837,8.6,10_12',,
